Week,Python: (South Africa),Rust: (South Africa),Go: (South Africa),Java: (South Africa)
2017-10-15,50,0,19,90
2017-10-22,51,3,17,91
2017-10-29,43,0,17,79
2017-11-05,42,0,17,76
2017-11-12,41,2,21,76
2017-11-19,38,0,19,70
2017-11-26,41,0,18,71
2017-12-03,40,0,21,63
2017-12-10,45,1,19,62
2017-12-17,38,0,15,61
2017-12-24,28,0,17,40
2017-12-31,34,0,20,46
2018-01-07,44,0,19,58
2018-01-14,47,1,24,64
2018-01-21,46,1,14,67
2018-01-28,41,1,23,64
2018-02-04,54,3,22,58
2018-02-11,46,0,19,79
2018-02-18,62,0,16,78
2018-02-25,55,0,17,75
2018-03-04,62,0,15,76
2018-03-11,70,2,21,79
2018-03-18,63,1,19,78
2018-03-25,50,0,15,74
2018-04-01,53,0,18,72
2018-04-08,61,2,19,73
2018-04-15,68,1,14,80
2018-04-22,51,0,16,66
2018-04-29,51,0,16,71
2018-05-06,60,3,18,85
2018-05-13,69,0,16,88
2018-05-20,72,0,17,80
2018-05-27,59,0,19,66
2018-06-03,50,0,17,65
2018-06-10,50,1,20,72
2018-06-17,57,2,19,65
2018-06-24,59,0,19,69
2018-07-01,49,0,20,68
2018-07-08,65,2,19,65
2018-07-15,49,1,16,68
2018-07-22,55,0,19,79
2018-07-29,59,0,22,78
2018-08-05,49,3,18,66
2018-08-12,54,0,18,83
2018-08-19,65,0,20,76
2018-08-26,59,2,17,70
2018-09-02,54,1,14,69
2018-09-09,59,0,18,72
2018-09-16,60,0,17,75
2018-09-23,58,3,15,68
2018-09-30,51,2,17,69
2018-10-07,55,2,15,86
2018-10-14,60,3,13,86
2018-10-21,54,0,20,77
2018-10-28,46,0,15,67
2018-11-04,51,0,17,59
2018-11-11,56,0,16,60
2018-11-18,45,1,16,60
2018-11-25,43,1,18,51
2018-12-02,47,0,17,48
2018-12-09,41,2,13,43
2018-12-16,33,0,15,43
2018-12-23,21,0,17,28
2018-12-30,32,0,19,31
2019-01-06,48,0,18,44
2019-01-13,48,1,15,51
2019-01-20,46,0,17,57
2019-01-27,42,0,20,59
2019-02-03,54,1,13,56
2019-02-10,60,1,19,67
2019-02-17,67,2,15,67
2019-02-24,61,1,9,65
2019-03-03,69,1,13,67
2019-03-10,68,2,17,60
2019-03-17,56,0,15,64
2019-03-24,59,0,18,67
2019-03-31,54,2,17,66
2019-04-07,69,0,12,59
2019-04-14,55,0,19,66
2019-04-21,60,1,12,60
2019-04-28,58,1,14,58
2019-05-05,57,1,16,63
2019-05-12,64,0,14,77
2019-05-19,62,5,15,61
2019-05-26,56,0,15,57
2019-06-02,55,0,17,60
2019-06-09,66,1,14,60
2019-06-16,62,1,12,52
2019-06-23,62,2,21,49
2019-06-30,55,2,15,57
2019-07-07,62,2,16,47
2019-07-14,68,1,13,55
2019-07-21,63,0,11,62
2019-07-28,66,2,15,64
2019-08-04,63,1,18,62
2019-08-11,64,0,14,62
2019-08-18,64,5,14,64
2019-08-25,63,0,15,62
2019-09-01,65,1,11,60
2019-09-08,72,0,13,64
2019-09-15,70,2,13,58
2019-09-22,55,2,11,51
2019-09-29,60,0,12,69
2019-10-06,58,2,13,67
2019-10-13,63,2,14,65
2019-10-20,67,1,11,57
2019-10-27,53,0,12,47
2019-11-03,55,3,8,51
2019-11-10,56,0,11,53
2019-11-17,58,1,12,47
2019-11-24,54,1,12,41
2019-12-01,50,3,9,42
2019-12-08,48,3,18,38
2019-12-15,40,3,11,33
2019-12-22,38,0,11,20
2019-12-29,33,0,9,24
2020-01-05,44,0,10,38
2020-01-12,62,1,11,42
2020-01-19,54,3,12,42
2020-01-26,55,1,9,41
2020-02-02,66,0,10,46
2020-02-09,72,3,11,63
2020-02-16,79,0,12,71
2020-02-23,76,1,12,67
2020-03-01,81,0,10,64
2020-03-08,77,1,12,58
2020-03-15,60,0,11,51
2020-03-22,62,0,11,47
2020-03-29,77,1,9,51
2020-04-05,81,2,11,58
2020-04-12,86,2,12,53
2020-04-19,75,4,15,62
2020-04-26,75,1,10,56
2020-05-03,76,1,11,57
2020-05-10,77,0,11,54
2020-05-17,83,0,12,52
2020-05-24,65,1,8,48
2020-05-31,76,1,12,45
2020-06-07,59,0,9,48
2020-06-14,65,1,10,40
2020-06-21,67,1,14,45
2020-06-28,56,0,11,40
2020-07-05,51,0,10,38
2020-07-12,62,1,12,49
2020-07-19,54,3,13,48
2020-07-26,56,1,11,45
2020-08-02,58,0,15,39
2020-08-09,61,0,11,41
2020-08-16,71,1,11,53
2020-08-23,66,1,11,49
2020-08-30,58,0,13,50
2020-09-06,55,0,12,50
2020-09-13,57,0,13,49
2020-09-20,51,2,8,42
2020-09-27,48,0,9,41
2020-10-04,53,1,12,43
2020-10-11,42,2,11,37
2020-10-18,46,0,10,43
2020-10-25,43,0,11,44
2020-11-01,40,2,10,45
2020-11-08,45,0,10,48
2020-11-15,44,1,9,37
2020-11-22,33,1,10,42
2020-11-29,31,1,8,27
2020-12-06,36,0,8,34
2020-12-13,32,0,9,29
2020-12-20,30,0,8,19
2020-12-27,27,0,9,15
2021-01-03,33,1,11,26
2021-01-10,42,1,10,23
2021-01-17,40,1,7,35
2021-01-24,37,2,9,28
2021-01-31,42,0,10,36
2021-02-07,48,0,12,39
2021-02-14,48,1,10,41
2021-02-21,44,0,9,37
2021-02-28,42,0,10,39
2021-03-07,42,0,9,32
2021-03-14,49,0,11,43
2021-03-21,47,0,8,39
2021-03-28,49,2,9,41
2021-04-04,51,1,8,39
2021-04-11,58,0,7,49
2021-04-18,61,0,8,47
2021-04-25,58,1,10,33
2021-05-02,55,0,6,42
2021-05-09,58,2,10,55
2021-05-16,64,1,5,55
2021-05-23,65,1,8,46
2021-05-30,64,1,10,44
2021-06-06,57,3,10,50
2021-06-13,60,1,10,49
2021-06-20,52,1,8,44
2021-06-27,47,0,12,38
2021-07-04,51,2,9,36
2021-07-11,50,2,10,31
2021-07-18,52,0,11,29
2021-07-25,46,2,9,39
2021-08-01,53,0,10,36
2021-08-08,44,0,9,42
2021-08-15,56,1,10,38
2021-08-22,47,0,12,44
2021-08-29,50,0,9,41
2021-09-05,46,2,10,49
2021-09-12,45,0,11,42
2021-09-19,44,0,8,37
2021-09-26,43,2,10,40
2021-10-03,43,0,10,48
2021-10-10,49,0,9,45
2021-10-17,48,1,7,43
2021-10-24,51,4,6,42
2021-10-31,44,1,9,36
2021-11-07,51,0,10,40
2021-11-14,48,0,10,34
2021-11-21,43,1,9,35
2021-11-28,43,1,10,35
2021-12-05,40,3,10,32
2021-12-12,38,3,10,25
2021-12-19,31,1,11,23
2021-12-26,32,2,9,24
2022-01-02,54,2,11,26
2022-01-09,58,2,14,41
2022-01-16,60,1,14,44
2022-01-23,68,2,10,40
